Adult Occupant,Belt Pretensioner-Rear,Safety Assist,Child Occupant,Class,Side Pelvis Airbag-Rear,AEB Vulnerable Road Users,Rate
88.0,0,68.0,85.0,8,2,0,0
88.0,0,73.0,85.0,8,2,0,1
96.0,0,75.0,90.0,9,2,0,1
91.0,0,78.0,90.0,4,2,0,1
96.0,0,94.0,86.0,2,2,0,1
97.0,0,76.0,87.0,8,3,0,1
91.0,0,76.0,85.0,4,3,0,1
96.0,0,77.0,85.0,11,2,0,1
98.0,0,73.0,87.0,8,2,0,1
96.0,0,75.0,89.0,12,2,0,1
95.0,0,77.0,84.0,8,2,0,1
93.0,0,77.0,87.0,10,2,0,1
97.0,0,80.0,86.0,9,1,0,1
87.0,0,75.0,86.0,10,2,0,0
89.0,0,82.0,86.0,10,2,0,1
94.0,0,73.0,87.0,10,2,0,1
93.0,0,76.0,83.0,4,2,0,1
90.0,0,72.0,83.0,4,2,0,1
97.0,0,79.0,84.0,5,2,0,1
91.0,0,68.0,81.0,9,2,0,0
93.0,0,76.0,85.0,1,3,0,1
95.0,0,85.0,86.0,10,3,0,1
89.0,0,75.0,86.0,4,3,0,1
45.0,2,7.0,16.0,12,2,0,0
94.0,0,76.0,88.0,4,1,0,1
91.0,0,81.0,81.0,1,2,0,1
50.0,2,32.0,69.0,4,2,0,0
96.0,0,79.0,86.0,2,2,0,1
96.0,0,76.0,84.0,2,2,0,1
96.0,0,76.0,84.0,2,2,0,1
91.0,0,68.0,81.0,9,2,0,0
94.0,0,80.0,87.0,4,2,0,1
91.0,0,77.0,87.0,2,0,0,1
95.0,0,73.0,91.0,2,2,0,1
96.0,0,75.0,91.0,8,3,0,1
91.0,0,68.0,81.0,9,2,0,0
91.0,0,68.0,81.0,9,2,0,0
93.0,0,76.0,85.0,1,3,0,1
92.0,0,75.0,79.0,9,2,0,0
73.0,0,50.0,84.0,12,2,0,0
89.0,2,81.0,86.0,4,3,0,1
85.0,0,75.0,87.0,8,2,0,1
97.0,0,76.0,87.0,10,2,0,1
93.0,0,71.0,86.0,8,2,0,1
72.0,2,25.0,56.0,8,2,0,0
86.0,0,59.0,85.0,1,2,0,1
71.0,0,37.0,66.0,10,2,0,0
69.0,2,29.0,37.0,12,2,0,0
51.0,2,0.0,43.0,8,2,0,0
76.0,2,29.0,60.0,9,2,0,0
76.0,2,29.0,60.0,9,2,0,0
87.0,0,60.0,85.0,10,2,0,1
93.0,0,72.0,85.0,10,2,0,1
93.0,0,82.0,81.0,1,2,0,1
85.0,0,25.0,84.0,8,2,0,0
93.0,0,59.0,84.0,8,2,0,1
71.0,2,29.0,51.0,8,2,0,0
61.0,0,25.0,60.0,12,2,0,0
74.0,2,25.0,63.0,12,2,0,0
82.0,2,57.0,63.0,12,2,0,0
83.0,0,57.0,80.0,12,2,0,1
93.0,0,58.0,84.0,10,2,0,1
74.0,0,25.0,78.0,8,2,0,0
91.0,0,76.0,87.0,10,2,0,1
92.0,0,88.0,75.0,8,2,0,1
86.0,0,72.0,87.0,10,2,0,1
90.0,0,77.0,87.0,6,2,0,1
95.0,0,62.0,80.0,4,2,0,1
94.0,0,68.0,89.0,8,2,0,1
94.0,0,68.0,89.0,8,2,0,1
85.0,0,60.0,82.0,9,2,0,1
97.0,0,71.0,78.0,10,2,0,1
85.0,0,57.0,84.0,9,2,0,1
95.0,0,60.0,80.0,10,2,0,1
93.0,0,58.0,79.0,10,2,0,1
98.0,0,95.0,87.0,4,2,0,1
96.0,0,59.0,85.0,12,2,0,1
96.0,0,71.0,87.0,10,2,0,1
93.0,0,72.0,85.0,10,2,0,1
87.0,0,60.0,84.0,12,2,0,1
90.0,0,59.0,83.0,10,2,0,1
79.0,0,25.0,64.0,12,2,0,0
87.0,0,47.0,64.0,12,2,0,0
85.0,0,25.0,84.0,8,2,0,0
93.0,0,59.0,84.0,8,2,0,1
95.0,0,59.0,80.0,10,2,0,1
89.0,0,53.0,79.0,2,2,0,1
82.0,0,72.0,73.0,8,2,0,0
84.0,0,60.0,87.0,10,2,0,1
90.0,0,75.0,79.0,4,2,0,1
97.0,0,60.0,84.0,4,2,0,1
72.0,2,61.0,32.0,7,2,0,0
92.0,0,88.0,67.0,8,2,0,0
88.0,0,68.0,84.0,8,2,0,1
93.0,0,69.0,85.0,2,3,0,1
95.0,0,60.0,77.0,12,2,0,1
96.0,0,82.0,85.0,1,2,0,1
90.0,0,51.0,80.0,9,2,0,1
91.0,0,49.0,79.0,12,2,0,0
91.0,0,72.0,79.0,12,2,0,1
92.0,0,54.0,77.0,4,2,0,1
83.0,0,25.0,75.0,12,2,0,0
88.0,0,44.0,75.0,12,2,0,0
91.0,0,59.0,85.0,1,2,0,1
75.0,2,25.0,46.0,9,2,0,0
93.0,0,58.0,86.0,4,3,0,1
88.0,0,58.0,83.0,12,2,0,0
66.0,2,27.0,49.0,12,2,0,0
73.0,2,29.0,61.0,12,2,0,0
90.0,0,73.0,80.0,4,2,0,1
95.0,0,78.0,77.0,10,2,0,1
72.0,2,16.0,32.0,7,2,0,0
95.0,0,93.0,80.0,1,2,0,1
95.0,0,93.0,80.0,1,2,0,1
93.0,0,60.0,86.0,10,2,0,1
85.0,2,89.0,76.0,4,2,0,1
91.0,0,82.0,80.0,8,2,0,1
82.0,2,43.0,62.0,8,2,0,0
82.0,2,43.0,62.0,8,2,0,0
79.0,0,25.0,79.0,12,2,0,0
87.0,0,60.0,79.0,12,2,0,1
82.0,2,25.0,60.0,8,2,0,0
82.0,2,57.0,60.0,8,2,0,0
95.0,0,62.0,90.0,1,1,0,1
86.0,0,58.0,85.0,10,2,0,1
83.0,0,59.0,80.0,8,2,0,0
91.0,0,81.0,80.0,8,2,0,1
90.0,0,59.0,82.0,9,2,0,1
92.0,0,68.0,83.0,8,2,0,1
85.0,0,25.0,82.0,6,2,0,0
93.0,0,63.0,82.0,6,2,0,1
98.0,0,60.0,81.0,2,2,0,1
93.0,0,60.0,84.0,11,2,0,1
96.0,0,68.0,84.0,10,3,0,1
80.0,0,25.0,73.0,12,2,0,0
85.0,0,43.0,73.0,12,2,0,0
92.0,0,85.0,82.0,2,2,0,1
