Side Chest Airbag-Driver,Side Chest Airbag-Passenger,AEB Vulnerable Road Users,Side Head Airbag-Driver,Side Head Airbag-Passenger,Seatbelt Reminder-Passenger,AEB Car-to-Car,Belt Loadlimiter-Rear,Belt Pretensioner-Rear,Side Head Airbag-Rear,Lane Assist System,Seatbelt Reminder-Rear,Safety Assist,Speed Assistance,Adult Occupant,Centre Airbag-Driver,Child Occupant,Rate,Tested Model,Isofix/i-Size-Passenger
0,0,0,0,0,0,0,0,0,0,1,0,64.0,1,87.0,2,87.0,4,26,1
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,83.0,2,85.0,5,4,1
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,93.0,0,89.0,5,37,0
0,0,0,0,0,0,0,0,0,0,1,0,72.0,1,87.0,0,86.0,5,108,1
0,0,0,0,0,0,0,0,0,0,1,0,90.0,1,91.0,0,93.0,5,142,0
0,0,0,0,0,0,0,0,0,0,1,0,90.0,1,91.0,0,93.0,5,142,0
0,0,0,0,0,0,0,0,0,0,1,0,81.0,1,78.0,2,78.0,4,210,1
0,0,0,0,0,0,0,0,0,0,1,0,87.0,1,90.0,0,86.0,5,102,1
0,0,0,0,0,0,0,0,0,0,1,0,82.0,1,93.0,0,89.0,5,134,1
0,0,0,0,0,0,0,0,0,0,1,0,66.0,1,80.0,2,82.0,4,162,1
0,0,0,0,0,0,0,0,0,0,1,0,65.0,1,76.0,2,84.0,4,170,1
0,0,0,0,0,0,0,0,0,0,1,0,89.0,1,92.0,0,89.0,5,239,0
0,0,0,0,0,0,0,0,0,0,1,0,87.0,1,90.0,0,89.0,5,227,1
0,0,0,0,0,0,0,0,0,0,1,0,65.0,1,85.0,0,86.0,4,43,1
0,0,0,0,0,0,0,0,0,0,1,0,82.0,1,85.0,0,86.0,5,43,1
0,0,0,0,0,0,0,0,0,0,1,0,78.0,1,82.0,2,75.0,4,76,1
0,0,0,0,0,0,0,0,0,0,1,0,64.0,1,82.0,2,81.0,4,17,1
0,0,0,0,0,0,0,0,0,0,1,0,91.0,1,91.0,0,87.0,5,113,1
0,0,0,0,0,0,0,0,0,0,1,0,79.0,1,85.0,0,88.0,5,131,0
0,0,0,0,0,0,0,0,0,0,1,0,70.0,1,94.0,0,80.0,5,229,0
0,0,0,0,0,0,0,0,0,0,1,0,70.0,1,94.0,0,84.0,5,229,0
0,0,0,0,0,0,0,0,0,0,1,0,95.0,1,91.0,0,90.0,5,246,1
0,0,0,0,0,0,0,0,0,0,1,0,67.0,1,76.0,2,82.0,4,79,1
0,0,1,0,0,0,0,0,0,0,2,0,39.0,1,70.0,2,69.0,1,45,1
0,0,0,0,0,0,0,0,0,0,1,0,79.0,1,84.0,0,82.0,5,236,2
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,93.0,0,89.0,5,237,0
0,0,0,0,0,0,0,0,0,0,1,0,81.0,1,91.0,0,87.0,5,27,1
0,0,1,0,0,0,0,0,0,0,2,0,32.0,1,49.0,2,56.0,1,46,1
0,0,0,0,0,0,0,0,0,0,1,0,67.0,1,76.0,2,80.0,4,49,0
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,89.0,0,87.0,5,68,1
0,0,0,0,0,0,0,0,0,0,1,0,87.0,1,89.0,0,87.0,5,71,1
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,96.0,0,91.0,5,147,1
0,0,0,0,0,0,0,0,0,0,1,0,80.0,1,80.0,0,75.0,4,121,1
