,Rate,Adult Occupant,Child Occupant,Vulnerable Road Users,Safety Assist,Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Front Airbag-Driver,Belt Pretensioner-Driver,Belt Loadlimiter-Driver,Knee Airbag-Driver,Side Head Airbag-Driver,Side Chest Airbag-Driver,Side Pelvis Airbag-Driver,Centre Airbag-Driver,Isofix/i-Size-Driver,Integrated Child Seat-Driver,Airbag cut-off switch-Driver,Seatbelt Reminder-Driver,Front Airbag-Passenger,Belt Pretensioner-Passenger,Belt Loadlimiter-Passenger,Knee Airbag-Passenger,Side Head Airbag-Passenger,Side Chest Airbag-Passenger,Side Pelvis Airbag-Passenger,Centre Airbag-Passenger,Isofix/i-Size-Passenger,Integrated Child Seat-Passenger,Airbag cut-off switch-Passenger,Seatbelt Reminder-Passenger,Front Airbag-Rear,Belt Pretensioner-Rear,Belt Loadlimiter-Rear,Knee Airbag-Rear,Side Head Airbag-Rear,Side Chest Airbag-Rear,Side Pelvis Airbag-Rear,Centre Airbag-Rear,Isofix/i-Size-Rear,Integrated Child Seat-Rear,Airbag cut-off switch-Rear,Seatbelt Reminder-Rear,Active Bonnet,AEB Vulnerable Road Users,AEB Pedestrian - Reverse,AEB Car-to-Car,Speed Assistance,Lane Assist System
40,5,88%,81%,79%,92%,"BBMW 2 Series Active Tourer 218i, LHD",- 5 door MPV,2022,1521kg,- all 2 Series Active Tourers,Small Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
41,5,86%,89%,76%,92%,"BMW X1 2.0 diesel X-Line, LHD",- 5 door SUV,2022,1654kg,- all X1's,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
42,5,91%,89%,69%,74%,"BYD ATTO 3, LHD",- 5 door SUV,2022,1750kg,- all ATTO 3's,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
43,5,95%,91%,83%,81%,"EQE 350+ from Mercedes-EQ, AMG Line, LHD",- 4 door saloon,2022,2355kg,- all EQE's,Executive,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Fitted,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
44,4,80%,79%,69%,71%,"Mobilize Limo 'Techo', LHD",- 5 door hatchback,2022,1600kg,- all Limos,Small Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
45,5,83%,83%,65%,70%,"SEAT Arona 1.0 Eco TSI 'Style', LHD",- 5 door hatchback,2022,1140kg,- VSSZZZKJ0PR000446,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
46,5,83%,82%,66%,70%,"SEAT Ibiza 1.0 Eco TSI 'Style', LHD",- 5 door hatchback,2022,1079kg,- VSSZZZKJ0PR000432,Small Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
47,5,88%,87%,74%,82%,"VW Golf 1.5 TSI 'Life', TSI",- 5 door hatchback,2022,1316kg,- all Golfs of the specification tested,Small Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Fitted,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
48,4,82%,87%,69%,66%,"Citroën C5 X 1.6 petrol hybrid, LHD",- 5 door hatchback,2022,1734kg,- all C5 X's,Executive,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Applicable,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
49,5,89%,87%,63%,88%,Genesis GV60,- 5 door SUV,2022,2095kg,- all GV60s,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Fitted,Fitted_Standard,Fitted_Standard,Fitted_Standard
50,4,91%,84%,75%,60%,Kia Niro,- 5 door SUV,2022,1682kg,- all Niros,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Fitted,Fitted_Standard,Fitted_Standard,Fitted_Standard
51,5,91%,84%,76%,79%,Kia Niro,- 5 door SUV,2022,1682kg,- all Niros,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Fitted,Fitted_Standard,Fitted_Standard,Fitted_Standard
52,5,88%,91%,89%,76%,"MAZDA CX-60 2.5 PHEV 'Core+', LHD",- 5 door SUV,2022,2081kg,- all MAZDA CX-60s,Large Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Fitted,Fitted_Standard,Fitted_Standard,Fitted_Standard
53,5,92%,83%,74%,93%,"ORA Funky Cat 400 pro+, LHD",- 5 door hatchback,2022,1580kg,- all Funky Cats,Small Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
54,5,97%,87%,82%,98%,Model Y,- 5 door SUV,2022,1979kg,- all Model Y variants,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
55,5,91%,87%,79%,94%,"WEY Coffee 01 'Prestige', LHD",- 5 door SUV,2022,2365kg,- all Coffee 01s,Large Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Fitted,Not_Fitted,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
56,4,87%,87%,71%,64%,"BMW i4, LHD",- 4 door saloon,2022,2050kg,- all i4s,Large Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
57,5,83%,85%,67%,85%,"Alfa Romeo Tonale, 1.5 GSE MHEV, LHD",- 5 door SUV,2022,1626kg,- all Tonales of the specification tested,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
58,5,93%,89%,73%,80%,"Cupra Born 170 KW, e-Boost Pack, LHD",- 5 door hatchback,2022,1782kg,- all Cupra Borns,Small Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
59,5,87%,86%,66%,72%,"Kia Sportage 1.6 T-GDI HEV, LHD",- 5 door SUV,2022,1748kg,- all Sportages,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Fitted,Fitted_Standard,Fitted_Standard,Fitted_Standard
